Dataset Name,Domain,Source,Country,Data Type,Access Level,Link,Use Cases,Last Updated,Challenges/Notes
Global MPI 2024 – Multidimensional Poverty Index,Socioeconomic,"Oxford Poverty & Human Development Initiative (OPHI), United Nations Development Programme (UNDP)",Africa-wide,Tabular,Open Access (CC BY‑NC‑SA  4.0),https://ophi.org.uk/global-mpi/2024/,"Poverty targeting, conflict impact analysis, agricultural policy design, rural livelihoods research, social protection planning",2024,Country-level aggregated data; not household-level microdata; some regions have limited disaggregation
"Temporary Migration Dataset – Mobile Phone Data, Senegal",Socioeconomic,"Springer Nature (via Figshare), Authors: Elodie Gauthier, Laurent Gardes, Yannick L'Horty",Senegal,Tabular,Open Access (CC BY 4.0),https://springernature.figshare.com/articles/dataset/A_highly_granular_temporary_migration_dataset_derived_from_mobile_phone_data_in_Senegal/28023170,"Migration modeling, rural-urban labor tracking, agricultural workforce planning, AI-based mobility dashboards",2023,Derived from mobile phone CDRs; high spatial and temporal resolution; useful for population movement analysis; may require preprocessing
Nigeria Road Traffic Data,Socioeconomic,xMap AI,Nigeria,Geospatial,Open Access (CC BY 4.0),https://www.xmap.ai/data-catalogs/nigeria-road-traffic-data,"Transport planning, logistics optimization, route modeling, smart agriculture supply chains",2024,High-resolution road network data; includes traffic flow and speed; may require GIS tools for integration with other datasets
The Impacts of the Africa Continental Free Trade Area on the Kenyan Economy,Socioeconomic,"Joint Research Centre (JRC)
— European Commission",Kenya,Tabular,Open Access (CC BY 4.0),https://datam.jrc.ec.europa.eu/datam/mashup/AFCFTA_KENYA/index.html?rdr=1765188734272,Analyze economic effects of AfCFTA implementation on Kenya,2025,May require EU institutional affiliation or formal request for full access
Data on Expenditures on Food and Alcoholic Beverages,Socioeconomic,Economic Research Service,Tanzania,Tabular,Public,https://datum.africa/datasets/data-on-expenditures-on-food-and-alcoholic-beverages-in,"Analyze food affordability and inflation impact
- Map poverty and consumption patterns
- Inform social protection programs (e.g., cash transfers)
- Academic research on dietary transitions
- Business market sizing for FMCG and beverage industries",2022,"May be based on outdated household surveys
- Alcoholic beverage data may be underreported due to stigma
- Regional or subnational breakdowns may be missing
- No clear methodology or sampling info on page
- License and citation not specified"
Roboflow Transportation Datasets Collection,Socioeconomic,Roboflow Universe Community,Africa-wide,Image,Open Access (CC0 – Public Domain),https://universe.roboflow.com/browse/transportation,"Autonomous vehicles, traffic monitoring, smart cities, infrastructure inspection, AI-based logistics",2024,Contains over 100+ datasets; many suitable for real-world use in African transport systems; requires internet access to browse
Africa Regional Out-of-School Rates (1970–2018),Socioeconomic,"UNICEF, UNESCO, World Bank",Africa-wide,Tabular,Open Access (CC BY 4.0),https://data.humdata.org/dataset/africa-regional-out-of-school-rates-1970-2018,"Educational planning, equity analysis, population studies, policy-making",2023,"Aggregated by region and country; includes gender breakdowns; sourced from international agencies like UNESCO, DHS Surveys, MICS Surveys"
Nigeria Employment Survey,Socioeconomic,Kaggle (user: Godwin Albert),Nigeria,Tabular,Open Access (CC0 – Public Domain),https://www.kaggle.com/datasets/godwinalbert/nigeria-employment-survey,"Analyze unemployment trends by region, age, or gender
- Map informal vs formal employment
- Study impact of education on job outcomes
- Build predictive models for job market entry
- Support policy design for youth employment programs",2022,"No official source or methodology documentation provided
- May be a subset or cleaned version — original survey weights or sampling info may be missing
- Risk of misrepresentation if used without understanding survey design
- No clear distinction between “labor force” and “employed” in preview"
World Bank Open Data,Socioeconomic,World Bank,Africa-wide,Tabular,Open Access (CC BY 4.0),https://data.worldbank.org/,"Economic modeling, development research",2023,Aggregated; may lack local detail
Africa Labour Market Statistics,Socioeconomic,International Labour Organization (ILO),Africa-wide,Tabular,Open Access (CC BY 4.0),https://ilostat.ilo.org/data/africa/,"Employment trends, youth unemployment, informal sector analysis",2025,Gaps in national coverage; some data is modeled
African Genome Variation Project (AGVP),Genomics ,"Wellcome Trust Sanger Institute, Kilifi, Kenya (KEMRI-Wellcome Trust Research Programme) and partners",Africa-wide,Tabular,Open Access (CC BY 4.0),https://www.internationalgenome.org/home,"Identifying genetic variants, Studying population structure, migration patterns, Developing algorithms for analyzing complex genomic data, Identifying novel drug targets or biomarkers based on genetic associations.",2019,"access is restricted, dataset size is small, requires computational resources"
MalariaGEN Anopheles funestus ,Genomics ,MalariaGEN,Africa-wide,Tabular,Open,https://www.malariagen.net/data/,"Insecticide resistance, vector ecology ML",2025,Requires genomic pipelines; large data sizes
African Human Microbiome Portal,Genomics ,H3ABioNet / NIH,Africa-wide,Tabular,Open Access (CC BY 4.0),https://microbiome.h3abionet.org/,Microbiome-health associations,2025,"Raw data in ENA, needs integration"
AGMP: African Genomic Medicine Portal,Genomics ,AfriGen-D,Africa-wide,Tabular,Open,https://agmp.afrigen-d.org/,"Drug response ML, precision medicine",2025,"Based on literature mining, static"
Afrobarometer Surveys,Public Opinion,Afrobarometer,Africa-wide,Tabular,Public,https://www.afrobarometer.org/,"Democracy, governance, public opinion analysis, policy planning",2025,Limited frequency; some countries have gaps
ACLED Conflict Events Dataset,Peace & Security,ACLED (non-profit),Africa-wide,Mixed Formats,Open Access (CC BY-NC 4.0),https://acleddata.com/,"Conflict mapping, risk assessment, humanitarian aid targeting, policy planning",2025,"Contains event-level data on political violence, protests, riots; useful for analyzing impact on food systems, displacement, and agricultural production in conflict zones"
Tumi Datasets,Mobility,Tumi,Africa-wide,Tabular,Open,https://hub.tumidata.org/,The Mobility Data Hub for Cities,2025,Not all cities are represented 
Rwanda Education Data,Education,USAID/ICPSR,Rwanda,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237672/version/V1/view,"Evaluate impact of USAID’s flagship literacy programs (Itegure Gusoma, Mureke Dusome)
- Analyze learning outcomes in Kinyarwanda and English literacy over a decade",2025,"Limited number of reports (3) and consent forms (3) for 18 data files and 24 instruments — requires inference
- Data likely focused on specific pilot districts or regions"
Morocco Education Data,Education,USAID/ICPSR,Morocco,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237522/version/V2/view,"Evaluate the impact of the RFS-SSE pilot on early-grade reading outcomes
- Analyze effectiveness of targeted reading interventions in a Francophone context",2025,"Limited scope — single small-scale pilot project (2015–2017)
- Small number of instruments (3) and reports (5) for 14 data files — may require inference"
Senegal Education Data,Education,USAID/ICPSR,Senegal,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237673/version/V1/view,"Evaluate impact of USAID’s literacy and inclusion programs (LPT, Passerelles)
- Analyze factors contributing to out-of-school children and youth",2025,"Limited number of reports and instruments relative to data files — may require inference
- Data likely focused on specific regions or pilot areas
- No geospatial identifiers for privacy protection"
Liberia Education Data,Education,USAID/ICPSR,Liberia ,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237226/version/V1/view,"Evaluate impact of USAID’s multi-year literacy and teacher training initiatives (AQE, EGRA Plus, READ Liberia, LTTP II)
- Analyze trends in foundational reading and mathematics learning outcomes over a 13-year period",2025,"Large volume of heterogeneous files — requires significant effort to harmonize across four distinct projects
- Instruments and codebooks may use inconsistent terminology or scales"
Mali Education Data,Education,USAID/ICPSR,Mali,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237430/version/V1/view,"Evaluate impact of USAID’s gender-focused and literacy programs (GLEE, SIRA)
- Analyze girls’ enrollment, retention, and learning outcomes in a high-risk context
- Study the effectiveness of targeted reading interventions in low-resource schools",2025,"Very limited number of data files (4) and instruments (2) — suggests small-scale or pilot evaluation
- High number of consent forms (11) relative to data files — may indicate multiple site or cohort sampling"
Ghana Education Data,Education,USAID/ICPSR,Ghana,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237429/version/V1/view,"Evaluate impact of USAID’s early-grade math and reading interventions
- Analyze learning outcomes in foundational literacy and numeracy",2025,"Limited consent documentation (only 2 forms for 16 data files)
- Instruments and codebooks may vary in structure across projects
- No geospatial identifiers for privacy protection"
Niger Education Data,Education,USAID/ICPSR,Niger,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237303/version/V1/view,"Evaluate the impact of the NECS project on primary education access and quality in Niger
- Analyze learning outcomes and school management practices in a fragile, low-literacy context
- Inform national education policy and donor coordination in the Sahel region",2025,"No consent forms provided — raises ethical questions about data use and privacy
- Limited documentation — only 2 reports and 13 codebooks for 12 data files and 11 instruments
- Data likely focused on specific pilot regions or schools"
Nigeria Education Data,Education,USAID/ICPSR,Nigeria,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237675/version/V1/view,"Evaluate impact of USAID’s literacy and access programs in Northern Nigeria (NEI+, RARA)
- Analyze learning outcomes and enrollment trends in high-poverty, low-literacy regions",2025,"High number of instruments (34) with potential inconsistency across projects — requires careful harmonization
- Data likely focused on Northern Nigeria — may not represent national trends"
DRC Education Data,Education,USAID/ICPSR,DRC,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237081/version/V1/view,"Evaluate impact of USAID’s literacy and youth development programs in a fragile state context
- Analyze learning outcomes in reading, writing, and mathematics across multiple interventions",2025,"Large number of codebooks and instruments — requires significant effort to harmonize across 5 distinct projects
- Data likely collected in high-risk, low-infrastructure environments — potential for sampling bias or data quality issues"
South African Education Data,Education,USAID,South Africa,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237386/version/V1/view,"Evaluate impact of multi-stakeholder literacy and teacher development programs across a decade
- Analyze foundational literacy outcomes in South Africa’s multilingual, diverse education system
- Assess effectiveness of teacher assessment tools (TARMII-FP) and professional development (STELLAR)",2025,"Extremely large and heterogeneous dataset — requires significant effort to harmonize across 7 projects
- Instruments and codebooks vary in structure and terminology
- Limited metadata on sampling design, weighting, or cluster randomization"
Zambia Education Data,Education,USAID,Zambia ,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237626/version/V1/view,"Evaluate impact of USAID’s early childhood and literacy programs (ECE, RTS, TTL)
- Analyze learning outcomes in foundational reading and school readiness",2025,"Very limited instrument documentation — only 1 survey instrument for 13 data files
- Data likely focused on specific pilot regions or schools"
Mozambique Education Data,Education,USAID,Mozambique,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237642/version/V1/view,"Evaluate impact of USAID’s literacy programs (ApaL, Eu Leio) on early-grade reading outcomes
- Analyze learning gains in Portuguese (official language) and local languages",2025,"Very limited documentation — only 2 codebooks and 1 instrument for 7 data files
- No consent forms provided — raises ethical questions about data use and privacy
- Data likely limited to specific regions or pilot areas"
Malawi Education Data,Education,USAID,Malawi,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237426/version/V1/view,"Evaluate impact of multi-stakeholder literacy and gender equity programs across a decade
- Analyze trends in early-grade reading outcomes and learning gaps
- Study the effectiveness of teacher professional development interventions
- Assess the impact of girl-focused programs (ASPIRE, AMAA) on enrollment and retention
- Measure school-related gender-based violence (SRGBV) prevalence and program response",2025,"Very large and heterogeneous dataset — requires significant effort to harmonize across 9 projects
- Instruments and codebooks vary in structure and terminology"
Tanzania Education Data,Education,USAID,Tanzania,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237676/version/V1/view,"Evaluate impact of USAID’s literacy and education programs (Tusome Pamoja, TZ21)
- Analyze learning outcomes in Reading, Writing, and Arithmetic (3Rs)
- Study the effectiveness of teacher training and curriculum interventions",2025,"Data is raw and unharmonized across four distinct projects — requires significant merging and cleaning
- Limited documentation on sampling design and weighting"
Uganda Education Data,Education,USAID,Uganda,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237643/version/V1/view,"Evaluate impact of USAID’s multi-faceted literacy and education programs (LARA, SHRP, LASER)
- Analyze student learning outcomes in reading and mathematics
- Assess the effectiveness of school health interventions on education",2025,"Large volume of heterogeneous files — requires significant data harmonization effort
- Instruments and codebooks may use inconsistent terminology across projects"
Egypt Education data,Education,USAID,Egypt,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237646/version/V1/view,"Evaluate impact of USAID’s literacy and gender-focused education programs in Egypt
- Analyze early-grade reading and mathematics outcomes in targeted governorates (El-Beheira, Cairo)
- Study the effectiveness of community-based literacy initiatives (Literate Village Project)",2025," Limited instrument documentation — only 1 survey instrument provided for 6 data files
- Data may be geographically limited to specific governorates (El-Beheira, Cairo)"
Somalia Education data,Education,USAID,Somalia ,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237385/version/V1/view," Evaluate impact of the Bar ama Baro program on literacy and learning outcomes in Somalia
- Analyze educational access and performance in one of the world’s most fragile states",2025,"Very limited documentation — only 3 codebooks and 1 report for 12 data files
- No survey instruments provided — makes interpretation of variables difficult"
Kenya USAID Education Data,Education,USAID,Kenya,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237644/version/V1/view,"Evaluate impact of USAID’s flagship education programs (PRIMR, Tusome, EMACK II)
- Analyze youth employment outcomes and barriers in Kenya",2025,Data is raw and unprocessed — requires expert knowledge to interpret codebooks and variable labels
Ethiopia USAID Education Data,Education,USAID/ICPSR,Ethiopia,Tabular,Open Access (CC BY 4.0),https://www.datalumos.org/datalumos/project/237384/version/V1/view,"Evaluate impact of USAID education programs (IQPEP, READ, TEACH II)
- Conduct longitudinal analysis of literacy and learning outcomes in Ethiopia",2025,Data is raw and unprocessed — requires expert knowledge to interpret codebooks and variable labels
South Africa Education Data and Visualisations,Education,"University of the Free State, South Africa",South Africa,Tabular,Open Access (CC BY 4.0),https://ufs.figshare.com/articles/dataset/South_Africa_Education_Data_and_Visualisations/22081058,"Educational planning, equity analysis, population studies, policy-making",2023,Stratified by school quintiles (1–5); some visualizations may require GIS or Python tools for advanced use
Senegal ANSD Data Portal,Multiple,ANSD,Senegal,Tabular,Open Access (CC BY 4.0),https://www.ansd.sn/,Localized socioeconomic data,2023,French language interface
Open Data Barometer 2016,Multiple,World Wide Web Foundation,Africa-wide,Tabular,Open Access (CC BY 4.0),https://openafrica.net/en/dataset/groups/open-data-barometer-2016,"Open data assessment, policy development",2016,Data may be outdated; limited to 2016 assessment
Tanzania National Bureau of Statistics (NBS) Demographic Data,Demographics,Tanzania NBS,Tanzania,Tabular,Open Access (CC BY 4.0),https://www.nbs.go.tz/,"Population analysis, service delivery models",2022,Some datasets only in PDF format
WorldPop Project,Demographics,University of Southampton,Africa-wide,Geospatial,Open Access (CC BY 4.0),https://www.worldpop.org/,"Population studies, urban planning",2025,Data accuracy varies by region
Zindi Africa (Competition Platform),Multiple,Zindi Africa,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://zindi.africa/,"Problem-solving for African challenges through machine learning competitions, talent identification.",2025,Datasets are often curated for specific competition problems; may require significant cleaning and pre-processing.
Lacuna Fund Datasets,Multiple,Lacuna Fund (Funded projects),Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://lacunafund.org/datasets/,Providing high-quality labeled datasets for low and middle-income contexts to address local problems.,2025,Focused on specific challenges and regions; relies on successful grant projects.
Deep Learning Indaba Call for African Datasets,Multiple,Deep Learning Indaba,Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://deeplearningindaba.com/,"Building a robust repository of high-quality, African-relevant datasets to fuel AI research and development.",2025,Aggregation is ongoing; quality and diversity depend on submissions.
Ookla Global Fixed Broadband & Mobile Network Maps,Digital Infrastructure,Ookla (a global leader in broadband intelligence),Africa-wide,Mixed Formats,Open Access (CC BY 4.0),https://www.ookla.com/ookla-for-good/open-data,"Internet connectivity analysis, digital inclusion planning, telemedicine feasibility, AI tool deployment in low-resource regions",2025,Contains large-scale geospatial speed test data; requires GIS tools; useful for identifying underserved zones
Kenya Open Data Portal,Multiple,Kenya National Bureau of Statistics,Kenya,Mixed Formats,Open Access (CC0 – Public Domain),https://opendata.go.ke/,"Government transparency, development projects",2025,Some datasets lack metadata or are outdated
Mauritius Open Data,Multiple,"Ministry of Information Technology, Communication and Innovation",Mauritius,Tabular,Open Access (CC BY 4.0),https://data.govmu.org/dataset/,"Government transparency, development projects, rban planning, economics , tourism, public service, education, health agriculture ",2025,
Tanzania National Bureau of Statistics (NBS) ,Multiple,National Bureau of Statistics Tanzania,Tanzania,Mixed Formats,Open Access (CC BY 4.0),NBS | Data Portals,"Agricultural planning, population analysis, economic forecasting, health policy, poverty targeting",2025,Contains rich national-level data; some sections outdated or incomplete; requires local language understanding for certain reports
City of Cape Town Open Data Portal,Multiple,City of Cape Town,South Africa,Mixed Formats,Open Access (CC BY 4.0),https://odp-cctegis.opendata.arcgis.com/,,,"Only covers one city, not regional"
National Portal of the Kingdom of Morocco,Multiple,Digital Development Agency (ADD),Morocco,Tabular,Open (Open Data Commons Open Database License - ODbL),https://www.data.gov.ma/,"Government transparency, development projects, rban planning, economics , tourism, public service, education, health agriculture ",2025,
Press Freedom Index for select African countries,Multiple,World Bank (GovDATA360 platform),Africa-wide,Tabular,Open Access (CC BY 4.0),https://open.africa/dataset/press-freedom-index-for-select-african-countries,Benchmarking government open data maturity; policy design; academic research; digital transformation monitoring,2022,Indicator coverage may be incomplete for some countries/years; definitions may vary over time; not microdata
Global Corruption Barometer Africa 2019: Citizens' Views and Experiences,Multiple,Transparency International (in partnership with Afrobarometer),Africa-wide,Tabular,Open Access (CC BY 4.0),https://charter.africa/resources/datasets/ce97373f-816b-4d62-ae8c-8778c464538c,"Anti-corruption policy design, academic research, civil society advocacy, governance benchmarking",2023,"Data is from 2019 so it may not reflect current realities; self-reported bias; limited to 35 countries in Africa
"
Ghana Open Data Initative ,Multiple,National Information Technology Agency (NITA),Ghana,Tabular,Open Access (ODC-By 1.0),https://data.gov.gh/search/type/dataset,"Government transparency, development projects, rban planning, economics , tourism, public service, education, health agriculture ",2025,
